artist,album,title,url,lyrics,wordcount,most_common
Adele,25 [LP],All I Ask,https://www.lyrics.com/lyric/32298016/Adele/All+I+Ask,"I will leave my heart at the door
I won't say a word
They've all been said before you know
So why don't we just play pretend
Like we're not scared of what's coming next
Or scared of having nothing left

Look, don't get me wrong
I know there is no tomorrow
All I ask is

If this is my last night with you
Hold me like I'm more than just a friend
Give me a memory I can use
Take me by the hand while we do what lovers do
It matters how this ends
'Cause what if I never love again?

I don't need your honesty
It's already in your eyes
And I'm sure my eyes, they speak for me
No one knows me like you do
And since you're the only one that matters
Tell me who do I run to?

Look, don't get me wrong
I know there is no tomorrow
All I ask is

If this is my last night with you
Hold me like I'm more than just a friend
Give me a memory I can use
Take me by the hand while we do what lovers do
It matters how this ends
'Cause what if I never love again?

Let this be our lesson in love
Let this be the way we remember us
I don't wanna be cruel or vicious
And I ain't asking for forgiveness
All I ask is

If this is my last night with you
Hold me like I'm more than just a friend
Give me a memory I can use
Take me by the hand while we do what lovers do
It matters how this ends
'Cause what if I never love again?",285,I
Adele,25 [LP],Sweetest Devotion,https://www.lyrics.com/lyric/32298015/Adele/Sweetest+Devotion,"With your loving, there ain't nothing
That I can't adore
The way I'm running, with you, honey
Means we can break every law
I find it funny that you're the only
One I never looked for
There is something in your loving
That tears down my walls

I wasn't ready then, I'm ready now
I'm heading straight for you
You will only be eternally
The one that I belong to

The sweetest devotion
Hitting me like an explosion
All of my life, I've been frozen
The sweetest devotion I've known

I'll forever be whatever you want me to be
I'll go under and all over for your clarity
When you wonder if I'm gonna lose my way home
Just remember, that come whatever, I'll be yours all alone

I wasn't ready then, I'm ready now
I'm heading straight for you
You will only be eternally
The one that I belong to

The sweetest devotion
Hitting me like an explosion
All of my life, I've been frozen
The sweetest devotion I've known

I've been looking for you, baby
In every face that I've ever known
And there is something 'bout the way you love me
That finally feels like home
You're my light, you're my darkness
You're the right kind of madness
And you're my hope, you're my despair
You're my scope, everything, everywhere

The sweetest devotion
Hitting me like an explosion
All of my life, I've been frozen
The sweetest devotion I've known

Sweetest
It's the sweetest
Sweetest
It's the sweetest
Sweetest
It's the sweetest
Sweetest
It's the sweetest
Devotion",260,sweetest
Adele,Lullaby Versions of Adele,Set Fire to the Rain,https://www.lyrics.com/lyric/29072067/Adele/Set+Fire+to+the+Rain,"I let it fall, my heart,
And as it fell you rose to claim it
It was dark and I was over
Until you kissed my lips and you saved me

My hands, they're strong
But my knees were far too weak
To stand in your arms
Without falling to your feet

But there's a side to you
That I never knew, never knew
All the things you'd say
They were never true, never true
And the games you play
You would always win, always win

But I set fire to the rain
Watched it pour as I touched your face
Well, it burned while I cried
'Cause I heard it screaming Out your name,
Your name

When I lay with you
I could stay there
Close my eyes
Feel you here forever
You and me together nothing gets better

'Cause there's a side to you
That I never knew, never knew
All the things you'd say
They were never true, never true
And the games you play
You would always win, always win

But I set fire to the rain
Watched it pour as I touched your face
Well, it burned while I cried
'Cause I heard it screaming out your name,
Your name

I set fire to the rain
And I threw us into the flames
Well, it felt something died
'Cause I knew that that was
The last time, the last time

Sometimes I wake up by the door,
That heart you caught must be waiting for you
Even now when we're already over
I can't help myself from looking for you

I set fire to the rain
Watched it pour as I touched your face
Well, it burned while I cried
'Cause I heard it screaming Out your name,
Your name

I set fire to the rain,
And I threw us into the flames
Well, it felt something died
'Cause I knew that, that was the last time
The last time

Let it burn
Let it burn
Let it burn",334,I
Adele,Un Maxx de Tubes [Warner],Rolling in the Deep,https://www.lyrics.com/lyric/24889122/Adele/Rolling+in+the+Deep,"There's a fire starting in my heart
Reaching a fever pitch and it's bringing me out the dark
Finally I can see you crystal clear
Go 'head and sell me out and I'll lay your shit bare
See how I'll leave with every piece of you
Don't underestimate the things that I will do
There's a fire starting in my heart
Reaching a fever pitch and it's bringing me out the dark

The scars of your love remind me of us
They keep me thinking that we almost had it all
The scars of your love they leave me breathless, I can't help feeling
We could have had it all (you're gonna wish you never had met me)
Rolling in the deep (tears are gonna fall, rolling in the deep)
You had my heart inside of your hand (you're gonna wish you never had met me)
And you played it to the beat (tears are gonna fall, rolling in the deep)

Baby I have no story to be told
But I've heard one on you and I'm gonna make your head burn
Think of me in the depths of your despair
Making a home down there 'cause mine sure won't be shared

The scars of your love remind me of us (you're gonna wish you never had met me)
They keep me thinking that we almost had it all (tears are gonna fall, rolling in the deep)
The scars of your love they leave me breathless, I can't help feeling
We could have had it all (you're gonna wish you never had met me)
Rolling in the deep (tears are gonna fall, rolling in the deep)
You had my heart inside of your hand (you're gonna wish you never had met me)
And you played it to the beat (tears are gonna fall, rolling in the deep)

We could've had it all
Rolling in the deep
You had my heart inside your hand
But you played it with a beating

Throw your soul through every open door
Count your blessings to find what you look for
Turned my sorrow into treasured gold
You pay me back in kind and reap just what you sow

(You're gonna wish you never had met me) we could've had it all
We could've had it all (tears are gonna fall, rolling in the deep)
It all, it all, it all, (you're gonna wish you never had met me)
We could have had it all (you're gonna wish you never had met me)
Rolling in the deep (tears are gonna fall, rolling in the deep)
You had my heart inside of your hand (you're gonna wish you never had met me)
And you played it to the beat (tears are gonna fall, rolling in the deep)

We could've had it all (you're gonna wish you never had met me)
Rolling in the deep (tears are gonna fall, rolling in the deep)
You had my heart inside your hand (you're gonna wish you never had met me)
But you played it, you played it, you played it, you played it
To the beat",517,gonna
Adele,custom_album_5944619,Make You Feel My Love,https://www.lyrics.com/lyric/30284633/Adele/Make+You+Feel+My+Love,"When the rain is blowing in your face
And the whole world is on your case
I could offer you a warm embrace
To make you feel my love

When the evening shadows and the stars appear
And there is no one there to dry your tears
Oh, I hold you for a million years
To make you feel my love

I know you haven't made your mind up yet
But I will never do you wrong
I've known it from the moment that we met
No doubt in my mind where you belong

I'd go hungry; I'd go black and blue
And I'd go crawling down the avenue
No, there's nothing that I wouldn't do
To make you feel my love

The storms are raging on the rolling sea
And on the highway of regret
The winds of change are blowing wild and free
You ain't seen nothing like me yet

I could make you happy, make your dreams come true
There's nothing that I wouldn't do
Go to the ends of this Earth for you
To make you feel my love, oh yes
To make you feel my love",191,I
Adele,2013 Grammy Nominees,Set Fire to the Rain [Live at the Royal Albert Hall] [Live],https://www.lyrics.com/lyric/28669852/Adele/Set+Fire+to+the+Rain+%5BLive+at+the+Royal+Albert+Hall%5D+%5BLive%5D,"I let it fall, my heart
And as it fell you rose to claim it
It was dark and I was over
Until you kissed my lips and you saved me

My hands, they're strong
But my knees were far too weak
To stand in your arms
Without falling to your feet

But there's a side to you
That I never knew, never knew
All the things you'd say
They were never true, never true
And the games you play
You would always win, always win

But I set fire to the rain
Watched it pour as I touched your face
Well, it burned while I cried
'Cause I heard it screaming out your name, your name!

When I lay with you
I could stay there
Close my eyes
Feel you here forever
You and me together
Nothing is better

'Cause there's a side to you
That I never knew, never knew
All the things you'd say
They were never true, never true
And the games you play
You would always win, always win

But I set fire to the rain
Watched it pour as I touched your face
Well, it burned while I cried
'Cause I heard it screaming out your name, your name

I set fire to the rain
And I threw us into the flames
Where it felt something die
'Cause I knew that that was the last time, the last time

Sometimes I wake up by the door
That heart you caught must be waiting for you
Even now when we're already over
I can't help myself from looking for you

I set fire to the rain
Watched it pour as I touched your face
Well, it burned while I cried
'Cause I heard it screaming out your name, your name

I set fire to the rain
And I threw us into the flames
Where it felt something die
'Cause I knew that that was the last time, the last time, oh, oh

Oh no
Let it burn
Oh oh oh
Let it burn
Oh oh oh
Let it burn
Oh oh oh",347,I
Adele,Yoga to Adele,One and Only,https://www.lyrics.com/lyric/29071549/Adele/One+and+Only,"You've been on my mind,
I grow fonder every day,
Lose myself in time,
Just thinking of your face,
God only knows why it's taken me 
So long to let my doubts go,
You're the only one that I want,

I don't know why I'm scared,
I've been here before,
Every feeling, every word,
I've imagined it all,
You'll never know if you never try,
To forget your past and simply be mine,

I dare you to let me be your, your one and only,
I promise I'm worthy,
To hold in your arms,
So come on and give me the chance,
To prove I am the one who can walk that mile,
Until the end starts,

If I've been on your mind,
You hang on every word I say,
Lose yourself in time,
At the mention of my name,
Will I ever know how it feels to hold you close,
And have you tell me 
Whichever road I choose, you'll go?

I don't know why I'm scared,
'Cause I've been here before,
Every feeling, every word,
I've imagined it all,
You'll never know if you never try,
To forget your past and simply be mine

I dare you to let me be your, your one and only,
I promise I'm worth it, mm,
To hold in your arms,
So come on and give me a chance,
To prove I am the one who can walk that mile,
Until the end starts,

I know it ain't easy giving up your heart,
I know it ain't easy giving up your heart,
Nobody's perfect,
(I know it ain't easy giving up your heart),
Trust me I've learned it,
Nobody's perfect,
(I know it ain't easy giving up your heart),
Trust me I've learned it,
Nobody's perfect,
(I know it ain't easy giving up your heart),
Trust me I've learned it,
Nobody's perfect,
(I know it ain't easy giving up your heart),
Trust me I've learned it,

So I dare you to let me be your, your one and only,
I promise I'm worth it,
To hold in your arms,
So come on and give me a chance,
To prove that I am the, one who can walk that mile,
Until the end starts,

Come on and give me a chance,
To prove that I am the one who can, walk that mile,
Until the end starts.",394,I
Adele,Hit List Countdown 2013,Set Fire To Rain (Made Famous By Adele),https://www.lyrics.com/lyric/29335978/Adele/Set+Fire+To+Rain+%28Made+Famous+By+Adele%29,"I let it fall, my heart,
And as it fell you rose to claim it
It was dark and I was over
Until you kissed my lips and you saved me

My hands, they're strong
But my knees were far too weak
To stand in your arms
Without falling to your feet

But there's a side to you
That I never knew, never knew
All the things you'd say
They were never true, never true
And the games you play
You would always win, always win

But I set fire to the rain
Watched it pour as I touched your face
Well, it burned while I cried
'Cause I heard it screaming Out your name,
Your name

When I lay with you
I could stay there
Close my eyes
Feel you here forever
You and me together nothing gets better

'Cause there's a side to you
That I never knew, never knew
All the things you'd say
They were never true, never true
And the games you play
You would always win, always win

But I set fire to the rain
Watched it pour as I touched your face
Well, it burned while I cried
'Cause I heard it screaming out your name,
Your name

I set fire to the rain
And I threw us into the flames
Well, it felt something died
'Cause I knew that that was
The last time, the last time

Sometimes I wake up by the door,
That heart you caught must be waiting for you
Even now when we're already over
I can't help myself from looking for you

I set fire to the rain
Watched it pour as I touched your face
Well, it burned while I cried
'Cause I heard it screaming Out your name,
Your name

I set fire to the rain,
And I threw us into the flames
Well, it felt something died
'Cause I knew that, that was the last time
The last time

Let it burn
Let it burn
Let it burn",334,I
Adele,Chimes of Freedom: The Songs of Bob Dylan,Make You Feel My Love [Recorded Live at WXPN] [Live][#],https://www.lyrics.com/lyric/25230508/Adele/Make+You+Feel+My+Love+%5BRecorded+Live+at+WXPN%5D+%5BLive%5D%5B%23%5D,"When the rain is blowing in your face
And the whole world is on your case
I could offer you a warm embrace
To make you feel my love

When the evening shadows and the stars appear
And there is no one there to dry your tears
Oh, I hold you for a million years
To make you feel my love

I know you haven't made your mind up yet
But I will never do you wrong
I've known it from the moment that we met
No doubt in my mind where you belong

I'd go hungry; I'd go black and blue
And I'd go crawling down the avenue
No, there's nothing that I wouldn't do
To make you feel my love

The storms are raging on the rolling sea
And on the highway of regret
The winds of change are blowing wild and free
You ain't seen nothing like me yet

I could make you happy, make your dreams come true
There's nothing that I wouldn't do
Go to the ends of this Earth for you
To make you feel my love, oh yes
To make you feel my love",191,I
Adele,"Grande B.O. Du Grand Journal, Vol. 3",Rolling in the Deep [Jamie XX Shuffle],https://www.lyrics.com/lyric/26420272/Adele/Rolling+in+the+Deep+%5BJamie+XX+Shuffle%5D,"There's a fire starting in my heart
Reaching a fever pitch and it's bringing me out the dark
Finally I can see you crystal clear
Go 'head and sell me out and I'll lay your ship bare
See how I leave with every piece of you
Don't underestimate the things that I will do
There's a fire starting in my heart
Reaching a fever pitch and its bringing me out the dark

The scars of your love remind me of us
They keep me thinking that we almost had it all
The scars of your love they leave me breathless, I can't help feeling
We could have had it all (you're gonna wish you never had met me)
Rolling in the deep (tears are gonna fall, rolling in the deep)
You had my heart inside of your hand (you're gonna wish you never had met me)
And you played it to the beat (tears are gonna fall, rolling in the deep)

Baby I have no story to be told
But I've heard one on you and I'm gonna make your head burn
Think of me in the depths of your despair
Making a home down there 'cause mine sure won't be shared

The scars of your love remind me of us (you're gonna wish you never had met me)
They keep me thinking that we almost had it all (tears are gonna fall, rolling in the deep)
The scars of your love they leave me breathless, I can't help feeling
We could have had it all (you're gonna wish you never had met me)
Rolling in the deep (tears are gonna fall, rolling in the deep)
You had my heart inside of your hand (you're gonna wish you never had met me)
And you played it to the beat (tears are gonna fall, rolling in the deep)

We could've had it all
Rolling in the deep
You had my heart inside your hand
But you played it with a beating

Throw your soul through every open door
Count your blessings to find what you look for
Turned my sorrow into treasured gold
You pay me back in kind and reap just what you sow

(You're gonna wish you never had met me) we could've had it all
We could've had it all (tears are gonna fall, rolling in the deep)
It all, it all, it all, (you're gonna wish you never had met me)
We could have had it all (you're gonna wish you never had met me)
Rolling in the deep (tears are gonna fall, rolling in the deep)
You had my heart inside of your hand (you're gonna wish you never had met me)
And you played it to the beat (tears are gonna fall, rolling in the deep)

We could've had it all (you're gonna wish you never had met me)
Rolling in the deep (tears are gonna fall, rolling in the deep)
You had my heart inside your hand (you're gonna wish you never had met me)
But you played it, you played it, you played it, you played it
To the beat",517,gonna
